molec_id,nu,sw,a,gamma_air,n_air,gamma_self,nu-err,sw-err,gamma_air-err,n_air-err,gamma_self-err,nu-ref,sw-ref,gamma_air-ref,n_air-ref,gamma_self-ref
1,0.072049,1.875e-30,4.668e-12,0.0946,0.73,0.391,5,3,4,5,2,1387,1380,1232,1411,817
1,0.400571,2.528e-28,1.084e-09,0.0889,0.71,0.434,5,3,4,6,2,1387,1380,1232,1411,817
1,0.741682,4.451e-25,2.016e-09,0.09,0.78,0.385,7,6,7,2,3,1387,1380,60,60,52
1,0.895095,3.802e-28,8.78e-09,0.0833,0.71,0.412,5,3,4,2,2,1387,1380,1232,1411,817
1,2.261688,1.24e-26,1.964e-07,0.0966,0.74,0.434,5,6,4,2,2,1387,1380,1232,1411,817
1,3.210927,1.52e-27,4.571e-07,0.0801,0.69,0.391,5,3,4,2,2,1387,1380,1232,1411,817
1,4.002633,1.421e-26,1.465e-06,0.0995,0.74,0.434,5,6,4,2,2,1387,1380,1232,1411,817
1,4.020903,3.59e-30,1.729e-06,0.0764,0.65,0.371,5,3,4,5,2,1387,1380,1232,1411,817
1,4.330047,6.083e-30,3.944e-07,0.0459,0.56,0.315,5,3,4,4,2,1387,1380,1232,1411,817
1,4.332648,2.03e-30,3.951e-07,0.0459,0.56,0.315,5,3,4,4,2,1387,1380,1232,1411,817
1,4.571447,4.846e-30,2.083e-06,0.0925,0.73,0.412,5,3,4,5,2,1387,1380,1232,1411,817
1,4.657032,1.177e-28,5.497e-07,0.0429,0.44,0.221,5,3,4,4,4,1387,1380,1419,1413,817
1,4.920788,1.845e-30,2.819e-06,0.084,0.71,0.391,5,3,4,5,2,1387,1380,1232,1411,817
1,5.914661,1.207e-29,1.143e-06,0.0378,0.39,0.208,4,3,4,4,4,1387,1380,1419,1413,817
1,6.114566,7.734e-23,3.606e-06,0.0992,0.77,0.519,7,6,6,2,4,1387,1380,60,60,52
1,6.570344,1.701e-30,4.409e-06,0.0995,0.74,0.456,5,3,4,6,2,1387,1380,1232,1411,817
1,6.975438,1.659e-27,3.37e-06,0.0731,0.68,0.371,5,3,4,2,2,1387,1380,1232,1411,817
1,7.761593,6.168e-27,4.638e-06,0.0714,0.66,0.371,5,3,4,2,2,1387,1380,1232,1411,817
1,8.253715,2.711e-28,2.476e-06,0.054,0.54,0.221,5,3,4,2,4,1387,1380,1419,1413,817
1,8.473858,5.244e-30,9.414e-06,0.0995,0.74,0.456,5,3,4,6,2,1387,1380,1232,1411,817
1,8.671072,5.991e-28,3.235e-06,0.0492,0.49,0.235,5,3,4,2,4,1387,1380,1419,1413,817
1,8.769325,7.029e-29,4.01e-06,0.0534,0.6,0.333,5,3,4,4,2,1387,1380,1232,1411,817
1,8.787791,2.118e-28,4.036e-06,0.0533,0.59,0.333,5,3,4,4,2,1387,1380,1232,1411,817
1,8.891545,1.734e-33,4.325e-06,0.0242,0.23,0.161,4,4,4,4,2,1387,26,1419,1413,817
1,8.944492,3.361e-30,1.485e-05,0.0733,0.67,0.352,5,3,4,2,2,1387,1380,1232,1411,817
1,9.640401,1.593e-34,3.464e-06,0.0392,0.4,0.161,4,4,4,4,2,1387,26,1419,1413,817
1,9.795592,1.794e-27,7.053e-06,0.0625,0.64,0.352,5,3,4,2,2,1387,1380,1232,1411,817
1,9.834255,1.969e-35,5.753e-06,0.0195,0.17,0.131,4,4,4,4,2,1387,26,1419,1413,817
1,9.921502,6.136e-28,7.328e-06,0.062,0.63,0.352,5,3,4,2,2,1387,1380,1232,1411,817
1,10.714935,2.553e-24,6.177e-06,0.0683,0.68,0.295,7,6,5,2,3,1387,1380,50,1413,52
1,10.773286,2.572e-30,8.967e-06,0.0946,0.73,0.412,5,3,4,5,2,1387,1380,1232,1411,817
1,10.791626,1.627e-30,2.59e-05,0.0678,0.62,0.352,5,3,4,4,2,1387,1380,1232,1411,817
1,10.7926,4.149e-30,9.288e-06,0.0601,0.58,0.25,5,3,4,4,2,1387,1380,1232,1411,817
1,10.845933,9.074e-23,1.157e-05,0.1002,0.73,0.507,7,6,5,2,4,1387,1380,1237,1413,52
1,10.897093,1.597e-30,1.042e-05,0.0946,0.73,0.412,5,3,4,5,2,1387,1380,1232,1411,817
1,11.045099,1.641e-28,3.312e-05,0.0966,0.74,0.412,5,3,4,2,2,1387,1380,1232,1411,817
1,11.215356,5.437e-26,1.057e-05,0.0916,0.73,0.371,5,6,4,2,2,1387,1380,1232,1411,817
1,11.30929,2.192e-29,7.745e-06,0.0333,0.34,0.195,4,3,4,4,4,1387,1380,1419,1413,817
1,11.83514,1.012e-29,9.121e-06,0.0398,0.41,0.208,4,3,4,4,4,1387,1380,1419,1413,817
1,12.682019,8.259e-22,3.044e-05,0.0974,0.54,0.637,7,6,5,2,3,1387,1380,52,1229,52
1,12.811431,1.575e-29,3.014e-05,0.0966,0.74,0.434,5,3,4,6,2,1387,1380,1232,1411,817
1,13.013486,2.874e-25,8.269e-06,0.0698,0.63,0.378,6,6,4,2,4,1387,1380,1419,1413,1419
1,13.098475,5.151e-30,6.182e-05,0.0651,0.59,0.352,5,3,4,4,2,1387,1380,1232,1411,817
1,13.439784,1.092e-28,7.62e-05,0.0858,0.71,0.391,5,3,4,3,2,1387,1380,1232,1411,817
1,13.459058,4.415e-29,4.159e-05,0.0946,0.73,0.391,5,3,4,5,2,1387,1380,1232,1411,817
1,14.199463,4.1e-27,4.359e-05,0.0585,0.57,0.352,5,3,4,2,2,1387,1380,1232,1411,817
1,14.343695,4.056e-30,4.216e-05,0.0966,0.74,0.434,5,3,4,6,2,1387,1380,1232,1411,817
1,14.588314,4.811e-24,2.114e-05,0.062,0.63,0.271,7,6,4,2,4,1387,1380,1419,1413,1419
1,14.634263,1.926e-28,3.98e-05,0.0498,0.53,0.333,5,3,4,4,2,1387,1380,1232,1411,817
1,14.648494,7.126e-23,2.773e-05,0.0714,0.66,0.329,7,6,4,2,5,1387,1380,1419,1413,79
1,14.701401,1.465e-27,4.843e-05,0.06,0.59,0.352,5,3,4,2,2,1387,1380,1232,1411,817
1,14.718144,5.844e-28,4.049e-05,0.0502,0.53,0.333,5,3,4,2,2,1387,1380,1232,1411,817
1,14.777502,1.481e-23,2.198e-05,0.0625,0.64,0.275,7,6,4,2,4,1387,1380,1419,1413,1419
1,14.943119,1.298e-30,5.23e-05,0.0585,0.57,0.333,5,3,4,3,2,1387,1380,1232,1411,817
1,14.943707,8.63e-22,5.381e-05,0.0889,0.71,0.412,7,6,4,2,4,1387,1380,1419,1413,1419
1,15.449704,1.322e-25,6.797e-05,0.0925,0.73,0.434,5,6,4,2,2,1387,1380,1232,1411,817
1,15.48891,1.745e-30,3.706e-05,0.0801,0.69,0.412,5,3,4,5,2,1387,1380,1232,1411,817
1,15.707163,2.733e-23,3.43e-05,0.0731,0.68,0.356,7,6,4,2,4,1387,1380,1419,1413,1419
1,15.833924,1.09e-22,4.745e-05,0.0801,0.69,0.395,7,6,4,2,4,1387,1380,1419,1413,1419
1,15.970344,1.906e-29,6.456e-05,0.0889,0.71,0.434,5,3,4,6,2,1387,1380,1232,1411,817
1,16.29431,2.211e-23,1.353e-05,0.0874,0.71,0.426,7,6,4,2,4,1387,1380,1419,1413,1419
1,16.628254,1.126e-26,8.639e-05,0.0678,0.62,0.371,5,6,4,2,2,1387,1380,1232,1411,817
1,16.797236,3.17e-24,2.596e-05,0.0533,0.59,0.233,7,6,4,2,4,1387,1380,1419,1413,1419
1,16.827732,1.06e-24,2.609e-05,0.0534,0.6,0.234,7,6,4,2,4,1387,1380,1419,1413,1419
1,17.219581,1.344e-28,0.0001212,0.0995,0.74,0.434,5,3,4,6,2,1387,1380,1232,1411,817
1,17.488532,1.874e-28,0.002944,0.1071,0.77,0.48,5,3,4,2,2,1387,1380,1232,1411,817
1,17.561721,1.752e-29,0.0001746,0.0744,0.64,0.371,5,3,4,5,2,1387,1380,1232,1411,817
1,17.690334,2.274e-26,2.924e-05,0.0601,0.58,0.32,5,6,4,2,4,1387,1380,1419,1413,1419
1,17.767107,2.018e-30,9.962e-05,0.0763,0.69,0.352,5,3,4,4,2,1387,1380,1232,1411,817
1,17.82007,1.258e-30,3.49e-05,0.0343,0.35,0.195,4,3,4,4,4,1387,1380,1419,1413,817
1,18.037614,9.485e-28,0.003169,0.1071,0.77,0.48,5,3,4,2,2,1387,1380,1232,1411,817
1,18.235633,2.014e-25,0.0001625,0.087,0.7,0.412,5,6,4,2,2,1387,1380,1232,1411,817
1,18.295137,9.682e-29,6.654e-05,0.0426,0.48,0.315,5,3,4,4,2,1387,1380,1232,1411,817
1,18.308291,3.232e-29,6.669e-05,0.0427,0.48,0.315,5,3,4,4,2,1387,1380,1232,1411,817
1,18.481289,9.559e-28,0.0002389,0.0991,0.74,0.456,5,3,4,2,2,1387,1380,1232,1411,817
1,18.574162,2.226e-28,0.0001253,0.0889,0.71,0.412,5,3,4,6,2,1387,1380,1232,1411,817
1,18.577385,5.236e-20,0.003443,0.1103,0.77,0.48,7,6,6,2,4,1387,1380,1423,1413,1419
1,18.811117,1.293e-30,6.775e-05,0.0797,0.69,0.352,5,3,4,4,2,1387,1380,1232,1411,817
1,18.896435,3.952e-29,0.0001495,0.0836,0.71,0.352,5,3,4,4,2,1387,1380,1232,1411,817
1,18.920475,3.93e-30,3.43e-05,0.0833,0.71,0.412,5,3,4,6,2,1387,1380,1232,1411,817
1,19.076984,3.066e-26,2.774e-05,0.0565,0.56,0.299,5,6,4,2,4,1387,1380,1419,1413,1419
1,19.281922,4.546e-26,0.0001357,0.0733,0.67,0.371,5,6,4,2,2,1387,1380,1232,1411,817
1,19.453842,4.584e-30,6.374e-05,0.0801,0.69,0.412,5,3,4,5,2,1387,1380,1232,1411,817
1,19.736775,5.587e-28,2.55e-05,0.0541,0.54,0.221,5,3,4,2,4,1387,1380,1419,1413,817
1,19.746231,6.296e-30,0.0001266,0.0889,0.71,0.434,5,3,4,6,2,1387,1380,1232,1411,817
1,19.788441,3.286e-30,3.91e-05,0.0292,0.29,0.183,4,3,4,4,4,1387,1380,1419,1413,817
1,19.803984,6.538e-27,8.43e-05,0.0815,0.71,0.333,5,3,4,2,2,1387,1380,1232,1411,817
1,19.849725,2.239e-25,0.000184,0.0764,0.65,0.391,5,6,4,2,2,1387,1380,1232,1411,817
1,20.374044,4.175e-29,0.0002433,0.085,0.71,0.371,5,3,4,5,2,1387,1380,1232,1411,817
1,20.704355,5.67e-22,0.0001088,0.0876,0.71,0.808,7,6,4,2,8,1387,1380,1423,1413,97
1,21.540439,2.351e-25,4.555e-05,0.0459,0.56,0.214,5,6,4,2,4,1387,1380,1419,1413,1419
1,21.545095,7.056e-25,4.558e-05,0.0459,0.56,0.214,6,6,4,2,4,1387,1380,1419,1413,1419
1,21.948726,3.011e-23,0.005485,0.1071,0.77,0.468,5,6,4,2,8,1387,1380,1232,1411,93
1,22.676599,2.198e-30,9.938e-05,0.0731,0.68,0.391,5,3,4,5,2,1387,1380,1232,1411,817
1,23.335734,1.436e-30,7.251e-05,0.0833,0.71,0.412,5,3,4,6,2,1387,1380,1232,1411,817
1,24.031672,1.013e-28,0.0001873,0.0833,0.71,0.391,5,3,4,5,2,1387,1380,1232,1411,817
1,24.172307,1.147e-27,0.00632,0.1055,0.76,0.456,5,3,4,2,2,1387,1380,1232,1411,817
1,24.522505,6.332e-28,0.006559,0.1055,0.76,0.456,5,3,4,2,2,1387,1380,1232,1411,817
1,25.032188,5.304e-30,0.0001492,0.0369,0.45,0.298,5,3,4,4,2,1387,1380,1232,1411,817
1,25.034345,1.591e-29,0.0001492,0.037,0.45,0.298,5,3,4,4,2,1387,1380,1232,1411,817
