molec_id,nu,sw,a,gamma_air,n_air,gamma_self,nu-err,sw-err,gamma_air-err,n_air-err,gamma_self-err,nu-ref,sw-ref,gamma_air-ref,n_air-ref,gamma_self-ref
22,11.833113,2.595e-39,6.351e-18,0.0663,0.81,0.066,3,4,4,4,4,797,449,448,448,448
22,11.937345,2.286e-34,6.813e-18,0.0663,0.81,0.066,3,4,4,4,4,797,449,448,448,448
22,19.721395,1.734e-38,1.05e-16,0.0621,0.79,0.062,3,4,4,4,4,797,449,448,448,448
22,19.895115,1.527e-33,1.126e-16,0.0621,0.79,0.062,3,4,4,4,4,797,449,448,448,448
22,27.608986,1.798e-37,6.274e-16,0.0588,0.78,0.059,3,4,4,4,4,797,449,448,448,448
22,27.852196,1.582e-32,6.727e-16,0.0588,0.78,0.059,3,4,4,4,4,797,449,448,448,448
22,35.495612,2.949e-37,2.336e-15,0.0562,0.77,0.056,3,4,4,4,4,797,449,448,448,448
22,35.808313,2.594e-32,2.506e-15,0.0562,0.77,0.056,3,4,4,4,4,797,449,448,448,448
22,43.380995,1.468e-36,6.615e-15,0.0542,0.76,0.054,3,4,4,4,4,797,449,448,448,448
22,43.763189,1.29e-31,7.094e-15,0.0542,0.76,0.054,3,4,4,4,4,797,449,448,448,448
22,51.26486,1.513e-36,1.565e-14,0.0525,0.76,0.052,3,4,4,4,4,797,449,448,448,448
22,51.71655,1.328e-31,1.679e-14,0.0525,0.76,0.052,3,4,4,4,4,797,449,448,448,448
22,59.146931,5.421e-36,3.262e-14,0.0512,0.75,0.051,3,4,4,4,4,797,449,448,448,448
22,59.66812,4.754e-31,3.499e-14,0.0512,0.75,0.051,3,4,4,4,4,797,449,448,448,448
22,67.026932,4.353e-36,6.186e-14,0.0499,0.74,0.05,3,4,4,4,4,797,449,448,448,448
22,67.617623,3.813e-31,6.637e-14,0.0499,0.74,0.05,3,4,4,4,4,797,449,448,448,448
22,74.904588,1.279e-35,1.091e-13,0.0488,0.73,0.049,3,4,4,4,4,797,449,448,448,448
22,75.564784,1.119e-30,1.17e-13,0.0488,0.73,0.049,3,4,4,4,4,797,449,448,448,448
22,82.779621,8.72e-36,1.815e-13,0.0476,0.71,0.048,3,4,4,4,4,797,449,448,448,448
22,83.509328,7.614e-31,1.948e-13,0.0476,0.71,0.048,3,4,4,4,4,797,449,448,448,448
22,90.651758,2.228e-35,2.881e-13,0.0463,0.68,0.046,3,4,4,4,4,797,449,448,448,448
22,91.450979,1.942e-30,3.091e-13,0.0463,0.68,0.046,3,4,4,4,4,797,449,448,448,448
22,98.520721,1.345e-35,4.398e-13,0.0448,0.65,0.045,3,4,4,4,4,797,449,448,448,448
22,99.389462,1.169e-30,4.715e-13,0.0448,0.65,0.045,3,4,4,4,4,797,449,448,448,448
22,106.386236,3.083e-35,6.491e-13,0.0433,0.62,0.043,3,4,4,4,4,797,449,448,448,448
22,107.324503,2.676e-30,6.963e-13,0.0433,0.62,0.043,3,4,4,4,4,797,449,448,448,448
22,114.248026,1.687e-35,9.314e-13,0.0415,0.57,0.042,3,4,4,4,4,797,449,448,448,448
22,115.255825,1.461e-30,9.994e-13,0.0415,0.57,0.042,3,4,4,4,4,797,449,448,448,448
22,122.105817,3.537e-35,1.304e-12,0.0396,0.52,0.04,3,4,4,4,4,797,449,448,448,448
22,123.183154,3.055e-30,1.399e-12,0.0396,0.52,0.04,3,4,4,4,4,797,449,448,448,448
22,129.959333,1.781e-35,1.787e-12,0.0375,0.47,0.037,3,4,4,4,4,797,449,448,448,448
22,131.106216,1.535e-30,1.918e-12,0.0375,0.47,0.037,3,4,4,4,4,797,449,448,448,448
22,137.808299,3.457e-35,2.404e-12,0.0354,0.41,0.035,3,4,4,4,4,797,449,448,448,448
22,139.024735,2.97e-30,2.579e-12,0.0354,0.41,0.035,3,4,4,4,4,797,449,448,448,448
22,145.65244,1.619e-35,3.179e-12,0.0332,0.34,0.033,3,4,4,4,4,797,449,448,448,448
22,146.938437,1.386e-30,3.409e-12,0.0332,0.34,0.033,3,4,4,4,4,797,449,448,448,448
22,153.49148,2.932e-35,4.141e-12,0.0311,0.27,0.031,3,4,4,4,4,797,449,448,448,448
22,154.847047,2.503e-30,4.442e-12,0.0311,0.27,0.031,3,4,4,4,4,797,449,448,448,448
22,161.325146,1.285e-35,5.319e-12,0.0291,0.2,0.029,3,4,4,4,4,797,449,448,448,448
22,162.750292,1.094e-30,5.71e-12,0.0291,0.2,0.029,3,4,4,4,4,797,449,448,448,448
