molec_id,nu,sw,a,gamma_air,n_air,gamma_self,nu-err,sw-err,gamma_air-err,n_air-err,gamma_self-err,nu-ref,sw-ref,gamma_air-ref,n_air-ref,gamma_self-ref
4,0.838022,6.98e-26,1.7e-09,0.0962,0.69,0.117,0,0,5,4,5,1,1,1315,1315,1315
4,1.676039,5.55e-25,1.632e-08,0.0941,0.7,0.115,0,0,5,4,5,1,1,1315,1315,1315
4,2.514048,1.85e-24,5.887e-08,0.0923,0.7,0.114,0,0,5,4,5,1,1,1315,1315,1315
4,2.515047,1.06e-25,5.903e-08,0.0923,0.7,0.114,0,0,5,4,5,1,1,1315,1315,1315
4,2.519798,1.07e-25,5.97e-08,0.0923,0.7,0.114,0,0,5,4,5,1,1,1315,1315,1315
4,3.352044,4.33e-24,1.449e-07,0.0907,0.7,0.113,0,0,5,4,5,1,1,1315,1315,1315
4,3.353376,2.48e-25,1.453e-07,0.0907,0.7,0.113,0,0,5,4,5,1,1,1315,1315,1315
4,3.35971,2.5e-25,1.467e-07,0.0907,0.7,0.113,0,0,5,4,5,1,1,1315,1315,1315
4,4.190023,8.31e-24,2.897e-07,0.0893,0.71,0.111,0,0,5,4,5,1,1,1315,1315,1315
4,4.191688,4.76e-25,2.904e-07,0.0893,0.71,0.111,0,0,5,4,5,1,1,1315,1315,1315
4,4.199606,4.79e-25,2.929e-07,0.0893,0.71,0.111,0,0,5,4,5,1,1,1315,1315,1315
4,5.027981,1.4e-23,5.068e-07,0.0881,0.71,0.11,0,0,5,4,5,1,1,1315,1315,1315
4,5.029978,8.05e-25,5.1e-07,0.0881,0.71,0.11,0,0,5,4,5,1,1,1315,1315,1315
4,5.03882,4.83e-26,5.124e-07,0.0881,0.71,0.11,0,0,5,4,5,1,1,1315,1315,1315
4,5.03948,8.09e-25,5.136e-07,0.0881,0.71,0.11,0,0,5,4,5,1,1,1315,1315,1315
4,5.041349,4.65e-26,5.172e-07,0.0881,0.71,0.11,0,0,5,4,5,1,1,1315,1315,1315
4,5.041403,4.65e-26,5.172e-07,0.0881,0.71,0.11,0,0,5,4,5,1,1,1315,1315,1315
4,5.865912,2.17e-23,8.156e-07,0.087,0.71,0.109,0,0,5,4,5,1,1,1315,1315,1315
4,5.868243,1.24e-24,8.157e-07,0.087,0.71,0.109,0,0,5,4,5,1,1,1315,1315,1315
4,5.878535,7.47e-26,8.228e-07,0.087,0.71,0.109,0,0,5,4,5,1,1,1315,1315,1315
