molec_id,nu,sw,a,gamma_air,n_air,gamma_self,nu-err,sw-err,gamma_air-err,n_air-err,gamma_self-err,nu-ref,sw-ref,gamma_air-ref,n_air-ref,gamma_self-ref
7,1e-06,1.869e-49,1.013e-31,0.0346,0.72,0.034,6,5,2,2,2,860,305,858,876,865
7,1e-06,3.769e-50,9.249e-32,0.0346,0.72,0.034,6,5,2,2,2,860,305,858,876,865
7,1e-06,4.008e-48,1.246e-31,0.0346,0.72,0.034,6,5,2,2,2,860,305,858,876,865
7,1e-06,7.233e-51,8.475e-32,0.0346,0.72,0.034,6,5,2,2,2,860,305,858,876,865
7,1e-06,8.838e-49,1.117e-31,0.0346,0.72,0.034,6,5,2,2,2,860,305,858,876,865
7,2e-06,1.046e-45,4.124e-31,0.0346,0.72,0.034,6,5,2,2,2,860,305,858,876,865
7,2e-06,1.125e-42,1.208e-30,0.0347,0.72,0.034,6,5,2,2,5,860,305,858,876,865
7,2e-06,1.28e-44,5.61e-31,0.0346,0.72,0.034,6,5,2,2,2,860,305,858,876,865
7,2e-06,1.31e-43,8.008e-31,0.0346,0.72,0.034,6,5,2,2,2,860,305,858,876,865
7,2e-06,1.727e-47,2.79e-31,0.0346,0.72,0.034,6,5,2,2,2,860,305,858,876,865
7,2e-06,2.79e-46,3.588e-31,0.0346,0.72,0.034,6,5,2,2,2,860,305,858,876,865
7,2e-06,3.098e-42,1.523e-30,0.0348,0.72,0.035,6,5,2,2,5,860,305,858,876,865
7,2e-06,3.751e-45,4.794e-31,0.0346,0.72,0.034,6,5,2,2,2,860,305,858,876,865
7,2e-06,3.919e-43,9.754e-31,0.0346,0.72,0.034,6,5,2,2,2,860,305,858,876,865
7,2e-06,4.189e-44,6.663e-31,0.0346,0.72,0.034,6,5,2,2,2,860,305,858,876,865
7,2e-06,7.098e-47,3.147e-31,0.0346,0.72,0.034,6,5,2,2,2,860,305,858,876,865
7,2e-06,8.198e-42,1.957e-30,0.035,0.72,0.036,6,5,2,2,5,860,305,858,876,865
7,3e-06,1.224e-40,7.246e-30,0.0356,0.72,0.039,6,5,2,2,6,860,305,858,876,865
7,3e-06,2.09e-41,3.862e-30,0.0352,0.72,0.037,6,5,2,2,6,860,305,858,876,865
7,3e-06,2.834e-40,1.045e-29,0.037,0.72,0.04,6,5,6,2,6,860,305,858,876,865
7,3e-06,5.142e-41,5.212e-30,0.0354,0.72,0.038,6,5,2,2,6,860,305,858,876,865
7,4e-06,1.429e-39,3.328e-29,0.0404,0.72,0.042,6,5,6,2,6,860,305,858,876,865
7,4e-06,6.416e-40,2.097e-29,0.0389,0.72,0.041,6,5,6,2,6,860,305,858,876,865
7,5e-06,3.168e-39,7.065e-29,0.0417,0.72,0.043,6,5,6,2,6,860,305,858,876,865
7,6e-06,7.092e-39,1.572e-28,0.0431,0.72,0.044,6,5,6,2,6,860,305,858,876,865
7,7e-06,1.642e-38,3.833e-28,0.0444,0.72,0.045,6,5,6,2,6,860,305,858,876,865
7,8e-06,4.092e-38,1.09e-27,0.046,0.72,0.046,6,5,6,2,6,860,305,858,876,865
7,1.1e-05,1.187e-37,4.945e-27,0.0481,0.72,0.048,6,5,6,2,6,860,305,858,876,865
